Material,125 Hz,250 Hz,500 Hz,1000 Hz,2000 Hz,4000 Hz
Unoccupied plastic chairs  (2 seats per m2),0.06,0.1,0.1,0.2,0.3,0.2
"Medium upholstered concert chairs, empty  (2 seats per m2)",0.49,0.66,0.8,0.88,0.82,0.7
"Heavily upholstered seats, unoccupied  (2 seats per m2)",0.7,0.76,0.81,0.84,0.84,0.81
"Empty chairs, upholstered with cloth cover  (2 seats per m2)",0.44,0.6,0.77,0.89,0.82,0.7
"Empty chairs, upholstered with leather cover  (2 seats per m2)",0.4,0.5,0.58,0.61,0.58,0.5
"Unoccupied, moderately upholstered chairs (0.90 m x 0.55 m)  (2 seats per m2)",0.44,0.56,0.67,0.74,0.83,0.87
"Areas with audience, orchestra or choir including narrow aisles",0.6,0.74,0.88,0.96,0.93,0.85
"Audience on wooden chairs, 1 per m2",0.16,0.24,0.56,0.69,0.81,0.78
"Audience on wooden chairs, 2 per m2",0.24,0.4,0.78,0.98,0.96,0.87
"Orchestra with instruments on podium, 1.5 m2 per person",0.27,0.53,0.67,0.93,0.87,0.8
"Audience area, 0.72 persons / m2",0.1,0.21,0.41,0.65,0.75,0.71
"Audience area, 1 person / m2",0.16,0.29,0.55,0.8,0.92,0.9
"Audience area, 1.5 persons / m2",0.22,0.38,0.71,0.95,0.99,0.99
"Audience area, 2 persons / m2",0.26,0.46,0.87,0.99,0.99,0.99
"Audience in moderately upholstered chairs 0,85 m x 0,63 m",0.72,0.82,0.91,0.93,0.94,0.87
"Audience in moderately upholstered chairs 0,90 m x 0,55 m",0.55,0.86,0.83,0.87,0.9,0.87
"Fabric-covered panel, 6 pcf rockwool core",0.46,0.93,1,1,1,1
"Fabric-covered panel, 8 pcf rockwool core",0.21,0.66,1,1,0.97,0.98
"Facing-brick brickwork, open butt joins, brick dimensions 230 x 50 x 55 mm",0.04,0.14,0.49,0.35,0.31,0.36
"Acoustical plaster, approx. 25 mm thick, 3.5 kg/m2/cm",0.17,0.36,0.66,0.65,0.62,0.68
"Rockwool thickness = 50 mm, 80 kg/m3",0.22,0.6,0.92,0.9,0.88,0.88
"Rockwool thickness = 50 mm, 40 kg/m3",0.23,0.59,0.86,0.86,0.86,0.86
"50 mm mineral wool (40 kg/m3), glued to wall, untreated surface",0.15,0.7,0.6,0.6,0.85,0.9
50 mm mineral wool (70 kg/m3) 300 mm in front of wall,0.7,0.45,0.65,0.6,0.75,0.65
"Gypsum board, perforation 19.6%, hole diameter 15 mm, backed by fibrous web 12 Rayl, 100 mm cavity filled with mineral fibre mat 1,05 kg/m2, 7,5 Rayl",0.3,0.69,1,0.81,0.66,0.62
"Perforated veneered chipboard, 50 mm, 1 mm holes, 3 mm spacing, 9% hole surface ratio, 150 mm cavity filled with 30 mm mineral wool",0.41,0.67,0.58,0.59,0.68,0.35
"Fibre absorber, mineral fibre, 20 mm thick, 3.4 kg/m2, 50 mm cavity",0.2,0.56,0.82,0.87,0.7,0.53
"Fibre absorber, mats of porous flexible fibrous web fabric, self-extinguishing",0.07,0.07,0.2,0.41,0.75,0.97
Plasterboard ceiling on battens with large air-space above,0.2,0.15,0.1,0.08,0.04,0.02
"Fibre absorber on perforated sheet metal cartridge, 0,5 mm zinc-plated steel, 1.5 mm hole diameter, 200 mm cavity filled with 20 mm mineral wool (20 kg/m3), inflammable",0.48,0.97,1,0.97,1,1
Fissured ceiling tile,0.49,0.53,0.53,0.75,0.92,0.99
"Perforated 27 mm gypsum board (16%), d = 4,5 mm, 300 mm from ceiling",0.45,0.55,0.6,0.9,0.86,0.75
"Wedge-shaped, melamine foam, ceiling tile",0.12,0.33,0.83,0.97,0.98,0.95
"Metal panel ceiling, backed by 20 mm Sillan acoustic tiles, panel width 85 mm, panel spacing 15 mm, cavity 35 cm",0.59,0.8,0.82,0.65,0.27,0.23
"Microperforated foil ""Microsorber"" (Kaefer)",0.06,0.28,0.7,0.68,0.74,0.53
"Microperforated glass sheets, 5 mm cavity",0.1,0.45,0.85,0.3,0.1,0.05
"Hanging absorber panels (foam), 400 mm depth, 400 mm distance",0.25,0.45,0.8,0.9,0.85,0.8
"Hanging absorber panels (foam), 400 mm depth, 700 mm distance",0.2,0.3,0.6,0.75,0.7,0.7
